time,onset_detection,capacitive_detection
11803,0,0
11827,0,0
11850,0,0
11875,0,0
11898,0,1
11922,1,0
11945,0,0
11969,0,0
11994,0,0
12017,0,0
12041,0,1
12064,1,0
12089,0,0
12112,0,0
12136,0,0
12160,0,0
12184,1,1
12208,0,0
12231,0,0
12255,0,0
12278,0,0
12303,0,1
12326,1,0
12350,0,0
12374,0,0
12398,0,0
12422,0,0
12445,0,1
12469,1,0
12492,0,0
12517,0,0
12540,0,0
12564,0,1
12588,1,0
12612,0,0
12636,0,0
12659,0,0
12683,0,0
12707,0,0
12731,0,1
12754,1,0
12778,0,0
12803,0,0
12826,0,0
12850,0,1
12873,1,0
12897,0,0
12921,0,0
12945,0,0
12968,0,0
12992,0,0
13017,0,1
13040,1,0
13064,0,0
13087,0,0
13112,0,0
13135,0,0
13159,0,1
13182,1,0
13206,0,0
13231,0,0
13254,0,0
13278,0,0
13301,0,1
13326,1,0
13349,0,0
13373,0,0
13396,0,0
13420,0,0
13445,0,1
13468,1,0
13492,0,0
13515,0,0
13540,0,0
13563,0,0
13587,1,1
13611,0,0
13635,0,0
13659,0,0
13682,0,0
13706,0,1
13729,1,0
13754,0,0
13777,0,0
13801,0,0
13825,0,0
13849,0,1
13873,1,0
13896,0,0
13920,0,0
13943,0,0
13968,0,0
13991,0,1
14015,1,0
14039,0,0
14063,0,0
14087,0,0
14110,0,0
14134,0,1
14158,0,0
14182,1,0
14205,0,0
14229,0,0
14253,0,0
14277,0,1
14301,1,0
14324,0,0
14348,0,0
14372,0,0
14396,0,0
14419,0,1
14443,1,0
14467,0,0
14491,0,0
14515,0,0
14538,0,0
14562,0,1
14586,1,0
14610,0,0
14633,0,0
14657,0,0
14681,0,0
14705,0,1
14729,1,0
14752,0,0
14776,0,0
14800,0,0
14824,0,0
14848,0,0
14871,0,1
14895,1,0
14919,0,0
14943,0,0
14966,0,0
14990,0,1
15014,1,0
15038,0,0
15062,0,0
15085,0,0
15110,0,0
15133,0,0
15157,1,1
15180,0,0
15204,0,0
15228,0,0
15252,0,0
15276,0,0
15299,0,1
15324,1,0
15347,0,0
15371,0,0
15394,0,0
15419,0,0
15442,0,0
15466,1,1
15490,0,0
15513,0,0
15538,0,0
15561,0,0
15585,0,0
15608,0,0
15633,0,0
15656,0,0
15680,0,0
15704,0,0
15727,0,0
15752,0,0
15775,0,0
15799,0,0
15822,0,0
15846,0,0
15870,0,0
15894,0,0
15918,0,0
15941,0,0
15965,0,0
15989,0,0
16013,0,0
16036,0,0
16060,0,0
16084,0,0
16108,0,0
16132,0,0
16155,0,0
16179,0,0
16203,0,0
16227,0,0
16250,0,0
16274,0,0
16297,0,0
16322,0,0
16346,0,0
16369,0,0
16393,0,0
16417,0,0
16441,0,0
16464,0,0
16488,0,0
16512,0,0
16536,0,0
16560,0,0
16583,0,0
16607,0,0
16630,0,0
16655,0,0
16678,0,0
16702,0,0
16726,0,0
16750,0,0
16774,0,0
16797,0,0
16821,0,0
16844,0,0
16869,0,0
16892
