time,onset_detection,capacitive_detection
11802,0,0
11826,0,0
11850,0,0
11874,0,0
11897,0,0
11921,0,0
11945,0,0
11969,0,0
11993,0,0
12016,0,1
12040,1,0
12064,0,0
12088,0,0
12111,0,0
12135,0,0
12160,0,0
12183,0,0
12207,0,0
12230,0,0
12254,0,1
12278,1,0
12302,0,0
12325,0,0
12349,0,0
12374,0,0
12397,0,0
12421,0,0
12444,0,0
12468,0,0
12492,0,0
12516,1,1
12539,0,0
12563,0,0
12588,0,0
12611,0,0
12635,0,0
12658,0,0
12682,0,0
12706,0,0
12730,0,0
12753,0,1
12777,1,0
12802,0,0
12825,0,0
12849,0,0
12872,0,0
12896,0,0
12920,0,0
12944,0,0
12967,0,0
12991,0,0
13016,1,1
13039,0,0
13063,0,0
13086,0,0
13110,0,0
13134,0,0
13158,0,0
13181,0,0
13205,0,0
13230,0,1
13253,1,0
13277,0,0
13300,0,0
13325,0,0
13348,0,0
13372,0,0
13395,0,0
13419,0,0
13444,0,0
13467,0,0
13491,0,1
13514,1,0
13539,0,0
13562,0,0
13586,0,0
13609,0,0
13633,0,0
13658,0,0
13681,0,0
13705,0,0
13728,0,1
13753,1,0
13776,0,0
13800,0,0
13824,0,0
13848,0,0
13872,0,0
13895,0,0
13919,0,0
13942,0,0
13967,0,0
13990,0,0
14014,0,0
14038,0,0
14061,0,0
14086,0,0
14109,0,0
14133,0,0
14156,0,0
14181,0,0
14204,0,0
14228,0,0
14252,0,0
14276,0,0
14300,0,0
14323,0,0
14347,0,0
14370,0,0
14395,0,0
14418,0,0
14442,0,0
14466,0,0
14489,0,0
14514,0,0
14537,0,0
14561,0,0
14584,0,0
14609,0,0
14632,0,0
14656,0,0
14680,0,0
14703,0,0
14728,0,0
14751,0,0
14775,0,0
14798,0,0
14823,0,0
14846,0,0
14870,0,0
14894,0,0
14918,0,0
